Country,Debut year,Latest entry,Entries,Finals,Latest final[a],Wins,Favorite Country (1975-),Least Favorite Country (1975-),Most Supportive Country (1975-),Least Supportive Country (1975-)
Albania,2004,2019,16,9,2019,0,Greece,Czech Republic,North Macedonia,Australia
Andorra,2004,2009,6,0,N/A,0,Portugal,Belarus,Spain,Armenia
Armenia,2006,2019,13,10,2017,0,Russia,Andorra,Russia,Azerbaijan
Australia,2015,2019,5,5,2019,0,Sweden,Albania,Poland,Armenia
Austria,1957,2019,52,47,2018,2,Sweden,Andorra,United Kingdom,Serbia & Montenegro
Azerbaijan,2008,2019,12,11,2019,1,Russia,Andorra,Russia,Armenia
Belarus,2004,2019,16,6,2019,0,Russia,Monaco,Ukraine,Andorra
Belgium,1956,2019,61,51,2017,1,The Netherlands,Andorra,The Netherlands,Morocco
Bosnia and Herzegovina,1993,2016,19,18,2012,0,Croatia,Andorra,Croatia,Luxembourg
Bulgaria,2005,2018,12,4,2018,0,Greece,Andorra,North Macedonia,Andorra
Croatia,1993,2019,25,18,2017,0,Bosnia & Herzegovina,Luxembourg,Slovenia,Andorra
Cyprus,1981,2019,36,30,2019,0,Greece,Andorra,Greece,Bosnia & Herzegovina
Czech Republic,2007,2019,8,3,2019,0,Sweden,Germany,Croatia,Andorra
Denmark,1957,2019,48,44,2019,3,Sweden,Andorra,Sweden,Serbia & Montenegro
Estonia,1994,2019,25,16,2019,1,Russia,Montenegro,Latvia,Andorra
Finland,1961,2019,53,45,2018,1,Sweden,Montenegro,Sweden,Morocco
France,1956,2019,62,62,2019,5,Portugal,Andorra,Switzerland,Azerbaijan
Georgia,2007,2019,12,7,2016,0,Azerbaijan,Andorra,Lithuania,Andorra
Germany,1956,2019,63,63,2019,2,Sweden,Andorra,Spain,Czech Republic
Greece,1974,2019,40,38,2019,1,Cyprus,Morocco,Cyprus,Morocco
Hungary,1994,2019,17,14,2018,0,Azerbaijan,Andorra,Finland,Monaco
Iceland,1986,2019,32,25,2019,0,Sweden,Monaco,Sweden,Serbia & Montenegro
Ireland,1965,2019,53,45,2018,7,Sweden,Montenegro,United Kingdom,Georgia
Israel,1973,2019,42,36,2019,4,Sweden,Slovakia,France,Serbia & Montenegro
Italy,1956,2019,45,45,2019,2,France,Croatia,Spain,Bulgaria
Latvia,2000,2019,20,10,2016,1,Russia,Andorra,Lithuania,Serbia & Montenegro
Lithuania,1994,2019,20,13,2018,0,Latvia,Monaco,Latvia,Albania
Luxembourg,1956,1993,37,37,1993,5,United Kingdom,Bosnia & Herzegovina,Portugal,Bosnia & Herzegovina
Malta,1971,2019,32,25,2019,0,Sweden,Monaco,United Kingdom,Serbia & Montenegro
Moldova,2005,2019,15,10,2018,0,Romania,Serbia & Montenegro,Romania,Monaco
Monaco,1959,2006,24,21,1979,1,France,Andorra,Italy,Armenia
Montenegro,2007,2019,11,2,2015,0,Serbia,Andorra,Serbia,Australia
Morocco,1980,1980,1,1,1980,0,Turkey,Belgium,Italy,Austria
Netherlands,1956,2019,60,51,2019,5,Albania,Monaco,Albania,Andorra
North Macedonia,1998,2019,19,9,2019,0,Sweden,Morocco,Sweden,Morocco
Norway,1960,2019,58,55,2019,3,Ukraine,Montenegro,Germany,Monaco
Poland,1994,2019,22,14,2017,0,Sweden,Morocco,France,Morocco
Portugal,1964,2019,51,42,2018,1,Moldova,Andorra,Moldova,Czech Republic
Romania,1994,2019,20,18,2017,0,Armenia,Monaco,Estonia,Monaco
Russian Federation,1994,2019,22,21,2019,1,Greece,Andorra,Albania,Austria
San Marino,2008,2019,10,2,2019,0,North Macedonia,Andorra,North Macedonia,Andorra
Serbia,2007,2019,12,9,2019,1,North Macedonia,Andorra,Austria,Estonia
Serbia and Montenegro,2004,2005,2,2,2005,0,Estonia,Bulgaria,Malta,Azerbaijan
Slovakia,1994,2012,7,3,1998,0,Sweden,Monaco,Croatia,Luxembourg
Slovenia,1993,2019,25,15,2019,0,Germany,Morocco,Portugal,Czech Republic
Spain,1961,2019,59,59,2019,2,Denmark,Morocco,Denmark,Morocco
Sweden,1958,2019,59,58,2019,6,Ireland,Andorra,Finland,Australia
Switzerland,1956,2019,60,49,2019,2,Sweden,Morocco,Belgium,Morocco
Turkey,1975,2012,34,33,2012,1,Bosnia & Herzegovina,Morocco,Germany,Latvia
Ukraine,2003,2018,15,15,2018,2,Russia,Andorra,Belarus,Australia
United Kingdom,1957,2019,62,62,2019,5,Ireland,Andorra,Ireland,Serbia & Montenegro
Yugoslavia,1961,1992,27,27,1992,1,Italy,Iceland,Turkey,Monaco
